"Company","SFR","Payload (kg)","Launch Cost ($M)","Price ($/kg)","Funding ($M)","Launch Class","Orbit Altitude","Tech Type","Country","HQ Location","Description"
"Exodus Space Corp","3","1,200","0.000","0","0.30","Small","LEO","Spaceplane","USA","Denver, CO","Developing the Horizontal Takeoff Horizontal Landing (HTHL) AstroClipper for the future of commercial space transportation"
"Gloyer-Taylor Labs","3","0","0.000","300","-","-","LEO","Rocket","USA","Tullahoma, TN","Developing the Advanced Cryognic Expendable (ACE) launch vehicle"
"Hudson Space Systems","3","80","0.760","9,500","0.10","Small","Suborbital","Rocket","USA","Hoboken, NJ","Developing a next generation of reusable launch vehicles for microgravity research"
"Hypersonix","3","150","0.000","0","-","Small","LEO","Rocket, Other","Australia","Brisbane, Queensland","Bringing increased efficiency and flexibility to space launch through the use of cutting edge aerodynamic technology"
"Interorbital Systems","3","40","0.500","12,500","-","Small","LEO","Rocket","USA","Mojave, CA","A rocket, satellite, and spacecraft manufacturing company."
"iRocket","3","1,500","0.000","0","-","Small","LEO","Rocket","USA","New Hyde Park, NY","Building the first fully autonomous, and fully reusable small launch vehicle for affordable access to space"
"JP Aerospace","3","0","0.000","0","-","-","Suborbital","Balloon","USA","Rancho Cordova, CA","JP Aerospace is a volunteer-based DIY Space Program. Home of PongSat and Airship to Orbit . We invented the better sandbag"
"Laros","3","150","3.000","20,000","-","Small","LEO","Rocket","Russia","Moscow","Developing the LAROS-RC2 orbital carrier and accompanying mobile launch infrastructure"
"Pangea Aerospace","3","150","4.540","30,267","1.10","Small","LEO","Rocket","Spain","Barcelona","Enabling Low cost access to space with the Aerospike engined reusable Small satellite launch vehicle ""MESO"""
"Phoenix Launch Systems","3","31","0.750","34,000","0.50","Small","LEO","Rocket","USA","Las Vegas, NV","Developing responsive launch services and products for the nanosatellite industry"
"Reaction Dynamics","3","150","0.000","30,000","1.15","Small","LEO","Rocket","Canada","St. Laurent, Quebec","Making it affordable for companies and universities to launch small satellites into orbit"
"Ripple Aerospace","3","2,600","0.000","0","-","Medium","LEO","Rocket","Norway","Kristiansand","Bringing back the ""sea-launch"" concept with full-force!"
"RocketStar","3","300","6.000","20,000","-","Small","LEO","Rocket","USA","New York, NY","We offer rideshare and dedicated launch opportunities at severe discounts to other launch providers, and can go from first conversation to launch in 18 months or less"
"Smallspark Space Systems","3","400","8.100","20,250","-","Small","LEO","Rocket","United Kingdom","Cardiff, Wales","Developing vertical launch systems to provide the ability for the United Kingdom to effectively, reliably and affordably deliver satellites into orbit from the planned major UK vertical launch spaceports"
"Space One (by Canon)","3","240","0.000","0","Joint Venture","Small","LEO","Rocket","Japan","Tokyo, Tokyo","Joint venture between Canon Electronics, IHI Aerospace, Shimizu, and Development Bank of Japan"
"SpaceRyde","3","0","0.000","0","0.15","Small","LEO","Balloon, Rocket","Canada","Toronto, Ontario","SpaceRyde offers affordable, on-schedule, dedicated launch for small sats"
"Stoke Space Technologies","3","500","0.000","0","-","Small","LEO","Rocket","USA","Seattle, WA","Developinig the world's first 100% reusable rocket"
"Thor Launch Systems (by 8 Rivers)","3","0","0.000","0","-","-","LEO","Other","USA","Durham, NC","Enabling the mass commercialization of space by moving beyond chemical rockets"
"TiSPACE","3","390","0.000","0","-","Small","LEO","Rocket","Taiwan","Chunan","Developing a cost-effective space launch system using cutting-edge, non-explosive hybrid rocket technologies"
"Venture Orbital Systems","3","80","0.000","0","0.91","Small","LEO","Rocket","France","Paris","Developing a reactive, reliable and cost-efficient nano-launcher"
"Agnikul Cosmos","2","100","1.200","12,000","3.58","Small","LEO","Rocket","India","Chennai, Tamil Nadu","Designing, manufacturing, and launching orbital-class launch vehicles"
"B2Space","2","150","0.000","0","-","Small","LEO","Balloon, Rocket","United Kingdom","Bristol, England","Developing a balloon-launched vehicle for smallsat payloads"
"Black Arrow Space Technologies","2","500","10.000","20,000","0.10","Small","LEO","Rocket","United Kingdom","Swindon, England","Developing a unique seaborne launch system"
"Celestia Aerospace","2","16","0.200","12,500","-","Small","LEO","Plane, Rocket","Spain","Barcelona","Personalized engineering support and dedicated airborne orbital launch platform"
"CloudIX","2","22","0.000","0","-","Small","LEO","Balloon, Rocket","USA","Hayward, CA","Ultra low-cost rockets and satellite deployment"
"CubeCab","2","5","0.250","50,000","-","Small","LEO","Rocket","USA","Mountain View, CA","LEO launch provider for 3U cubesats"
"EOS-X","2","0","0.000","0","-","Tourism","Suborbital","Balloon","Spain","Madrid","Revolutionizing near space tourism and opening it to a greater audience"
"ESC Aerospace","2","0","0.000","50","-","-","LEO","Other","USA","Orlando, FL","Enabling transportation to LEO"
"Eutropia","2","25","0.125","5,000","-","Small","Suborbital","Rocket","Australia","Melbourne, Victoria","Reusable hybrid rocketry"
"Fore Dynamics","2","200","0.000","0","-","Small","LEO","Rocket","USA","Placentia, CA","Affordable and reliable small satellite launch system for LEO, SSO, and GEO missions"
"Independence-X Aerospace","2","200","4.500","22,500","-","Small","LEO","Rocket","Malaysia","Kuala Lumpur","Aiming to innovate space exploration technologies to deliver efficient and cost effective solutions for humanity"
"INNOSPACE","2","500","12.500","25,000","1.50","Small","LEO","Rocket","South Korea","Sejong City","Developing hybrid small satellite launch vehicles"
"IO Aircraft","2","63,500","28.000","441","-","Medium, Heavy","LEO","Spaceplane","USA","Ankeny, IA","Developing single stage to orbit, fixed wing, hypersonic aircraft"
"LIA Aerospace","2","150","0.000","25,000","-","Small","LEO","Rocket","Argentina","-","Creating the small-sat launch vehicle of the future"
"LongShot","2","0","0.000","0","-","Small","LEO","Other","USA","-","Developing a non-traditional hypervelocity launch system"
"New Rocket Technologies","2","500","9.000","18,000","-","Small","LEO","Rocket","Russia","Moscow","Building light, two-stage rockets for small satellite launch"
"Odyne Space","2","150","0.000","0","-","Small","LEO","Rocket","USA","Portland, OR","Cheaper access to space for nanosatellite payloads"
"Phantom Space","2","450","0.000","0","-","Small","LEO","Rocket","United States","Tucson, AZ","Revolutionizing the way we transport satellites and space assets into space"
"POLARIS","2","1,150","0.000","0","-","Small","LEO","Spaceplane","Germany","-","Developing a novel, reusable hypersonic and space launch system"
"S-Motor","2","160","0.000","0","-","Small","LEO","Rocket","China","Beijing","Developing a three-stage solid-propellant launch vehicle"
"Space Ops","2","10","0.000","0","-","Small","LEO","Rocket","Australia","Redfern, New South Wales","Developing a reusable two-stage orbital-class launch vehicle"
"SpaceHorizon","2","1,200","0.000","0","-","Small","LEO","Rocket","Canada","Ottawa, Ontario","Striving to design, build, and launch rockets, in and from Canada"
"STAR Orbitals","2","150","0.000","0","-","Small","LEO","Rocket","India","Surat, Gujarat","Developing the Phoenix small launch vehicle"
"T-Minus","2","1","0.000","0","-","Small","Suborbital","Rocket","Netherlands","Delft","Developing rocket-related products for the European Space Industry"
"Tachyon Aerospace","2","0","0.000","0","-","-","LEO","Other","United Kingdom","London, England","Developing the Trans-Atmospheric Flight Vehicle (TAV 1)"
"VALT Enterprises","2","25","1.700","68,000","-","Small","LEO","Rocket","USA","Sanford, ME","Hypersonic Delivery Systems: Suborbital & Orbital Missions"
"Vector","2","200","0.000","0","-","Small","LEO","Rocket","USA","Tucson, AZ","Developing suborbital and orbital launch vehicles"
"Vogue Aerospace","2","500","2.000","4,000","0.10","Small","LEO","Rocket","USA","Naples, FL","Developing a unique launch vehicle and propulsion system"
"Wave Motion Launch","2","45,360","0.000","0","-","Heavy","LEO","Other","USA","Seattle, WA","Building a space launch system for sending hardened satellites and bulk cargo into space"
"AvalonSpace","1","0","0.000","0","-","-","-","Rocket","United Kingdom","Bristol, England","Vertically launching low-cost orbital payloads from the UK"
"CubeSat Solutions","1","50","0.000","0","-","Small","Suborbital","Rocket","Thailand","Chiang Mai","Designer of low-weight, low-cost satellites and small launching vehicles"
"Eclipse Orbital","1","1,350","10.000","7,407","-","Small","LEO","Rocket","USA","Reno, NV","Making space affordable and available to everyone"
"Enter Space","1","3,000","0.000","1,000","-","Medium","LEO","Spaceplane","Australia","Sydney, New South Wales","Developing technology for cost effective, reliable, and frequent access to space"
"Fenix Space","1","0","0.000","0","-","-","LEO","Plane, Rocket","USA","San Bernardino, CA","Developing a reliable tow-glider launch system"
"Forever Space","1","0","0.050","0","-","Small","Lunar","Other","USA","San Francisco, CA","Developing the Otis electric vehicle for civil space transportation"
"Hybrid Propulsion","1","250","4.000","16,000","-","Small","LEO","Rocket","France","Talence","Developing a solution for quick missions to LEO"
"Jarmyn Enterprise Space","1","50","0.000","0","-","Small","LEO","Rocket","Australia","Mawson Lakes, South Australia","Building a single-stage to orbit launch system dedicated to small payloads"
"Launch Tech Space","1","0","0.000","0","-","Small","LEO","Other","USA","Pasadena, CA","Developing an eco friendly, electromagnetic space launch system"
"Marcom","1","1,000","8.000","8,000","-","Small","LEO","Rocket","South Africa","Johannesburg","Developing the Cheetah small launch vehicle"
"New Ascent","1","0","0.000","0","0.11","-","-","Other","USA","Annapolis, MD","Redefining launch from the ground up"
"OmSpace Rocket and Exploration","1","0","0.000","0","-","Small","LEO","Rocket","India","Bharuch, Gujarat","Building a reusable small launch vehicle"
"Project S3","1","250","0.000","0","-","Small","-","Spaceplane","Croatia","Zagreb","Aiming to provide orbital launches of small satellites for the most affordable prices"
"Rocketplane Global","1","3,000","0.000","0","-","Medium","LEO","Spaceplane","USA","Green Bay, WI","Spaceplane based satellite launch"
"Rocketsan","1","100","0.000","0","-","Small","LEO","Rocket","Turkey","Ankara","Rocketsan is developing a micro-satellite launch system for the Turkish government"
"Seres Space Exploration Technology","1","20,000","0.000","0","-","Heavy","LEO","Rocket","China","Beijing","Developing a reusable launch vehicle named ‘Tianmeng’"
"ShipInSpace","1","20,000","0.000","2,000","-","Heavy","LEO","Rocket","United Kingdom","Witney, England","Working on a very low-cost Launcher to LEO"
"Spaceborne","1","0","0.000","0","-","-","LEO","Rocket","Uzbekistan","Tashkent","Building low cost, single stage and highly reusable launch vehicles"
"SpaceTrek","1","240","0.000","0","-","Small","LEO","Rocket","China","Beijing","Customized launch services for sub-orbital and orbital payloads"
"Stratobooster","1","0","0.000","0","-","Small","LEO","Balloon, Rocket","United Kingdom","Middlesbrough, England","Launching small satellites into space using high altitude balloons"
"Suborbitality","1","75","0.000","5,000","-","Small","Suborbital","Rocket","Czech Republic","Prague","Creating a dedicated, reusable, and low-cost suborbital rocket"
"Trans Space Travels","1","0","0.000","0","-","-","Suborbital","Spaceplane","Germany","Bayreuth","Developing SOL ASPIRET, a suborbital spaceplane"
"Deywoss One","0","200","0.000","0","-","Small","LEO","Spaceplane","USA","Merepoint, ME","Developing PROTEUS, an innovative hybrid and autonomous launcher for small sats"
"Halo Aerospace","0","0","0.000","0","-","-","Suborbital","Balloon, Rocket","USA","West Palm Beach, FL","Providing launch services via HABs and sounding rockets"
"LEO Launcher","0","680","0.000","0","-","Small","LEO","Plane, Rocket","USA","Houston, TX","Long range heavy lift aircraft horizontal launches"
"Orbspace","0","0","0.000","0","-","Tourism","Suborbital","Rocket","Japan","Tsukuba, Ibaraki","Developing Infinity, a small reusable rocket"
"Space One","0","0","0.000","0","-","-","LEO","Other","Luxembourg","Luxembourg","Developing electromagnetic launch systems to change how we launch payloads into space"
"Space Railway Corporation","0","0","0.000","0","-","-","LEO","Other","USA","Fort Worth, TX","Developing a proposed ""railway"" to space that is safer, cheaper, and greener than rockets"
"The Rocket & Satellite Company","0","0","0.000","0","-","-","LEO","Rocket","Pakistan","Karachi","Offering low-cost space launch systems"
"Timewarp Space","0","150","0.000","0","-","Small","LEO","Rocket","India","Bangalore, Karnataka","Dedicated to providing frequent and reliable space access"
"United Frontiers","0","500","0.000","2,000","-","Small","LEO","Rocket","USA","Port Canaveral, FL","SpaceBox is a suborbital launch and recovery platform designed to enable affordable access to space for educational, professional, consumer and hobbyist payloads"
